name,url,code,pinyin
孝感,//www.zhaopin.com/xiaogan/,743,xiaogan
宣城,//www.zhaopin.com/xuancheng/,680,xuancheng
咸宁,//www.zhaopin.com/xianning/,746,xianning
西宁,//www.zhaopin.com/xining/,878,xining
西昌,//www.zhaopin.com/xichang/,10104,xichang
西平,//www.zhaopin.com/xiping/,10059,xiping
西双版纳,//www.zhaopin.com/xishuangbanna/,840,xishuangbanna
锡林郭勒盟,//www.zhaopin.com/xilinguole/,595,xilinguolemeng
仙桃,//www.zhaopin.com/xiantao/,10168,xiantao
香河,//jobs.zhaopin.com/xianghe/,10167,xianghe
湘潭,//www.zhaopin.com/changzhutan/,751,xiangtan
湘西,//www.zhaopin.com/xiangxi/,762,xiangxi
象山,//jobs.zhaopin.com/ningbo_re3373/,10154,xiangshan
忻州,//www.zhaopin.com/xinzhou/,584,xinzhou
兴安盟,//www.zhaopin.com/xingan/,594,xinganmeng
兴城,//www.zhaopin.com/xingcheng/,10023,xingcheng
兴平,//www.zhaopin.com/xingping/,10058,xingping
盱眙,//jobs.zhaopin.com/huaian_re3398/,10152,xuyi
西咸新区,//www.zhaopin.com/xixianxinqu/,933,xixianxinqu
香港,//jobs.zhaopin.com/hongkong/,561,xianggang
西班牙,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=520&sm=0&p=1&sf=0,520,xibanya
希腊,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=497&sm=0&p=1&sf=0,497,xila
新加坡,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=518&sm=0&p=1&sf=0,518,xinjiapo
新西兰,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=510&sm=0&p=1&sf=0,510,xinxilan
匈牙利,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=498&sm=0&p=1&sf=0,498,xiongyali
烟台,//www.zhaopin.com/yantai/,707,yantai
盐城,//www.zhaopin.com/yancheng/,644,yancheng
扬州,//www.zhaopin.com/yangzhou/,645,yangzhou
宜昌,//www.zhaopin.com/yichang/,739,yichang
义乌,//www.zhaopin.com/yiwu/,3376,yiwu
营口,//www.zhaopin.com/yingkou/,606,yingkou
榆林,//www.zhaopin.com/yulin/,861,yulin
玉林,//www.zhaopin.com/yu4lin/,793,yulin
运城,//www.zhaopin.com/yuncheng/,583,yuncheng
宜兴,//www.zhaopin.com/yixing/,2513,yixing
岳阳,//www.zhaopin.com/yueyang/,754,yueyang
宜宾,//www.zhaopin.com/yibin/,813,yibin
延安,//www.zhaopin.com/yanan/,859,yanan
延边,//www.zhaopin.com/yanbian/,621,yanbian
玉溪,//www.zhaopin.com/yuxi/,833,yuxi
阳江,//www.zhaopin.com/yangjiang/,777,yangjiang
益阳,//www.zhaopin.com/yiyang/,757,yiyang
宜春,//www.zhaopin.com/yichun/,699,yichun
银川,//www.zhaopin.com/yinchuan/,886,yinchuan
阳泉,//www.zhaopin.com/yangquan/,578,yangquan
永州,//www.zhaopin.com/yongzhou/,759,yongzhou
云浮,//www.zhaopin.com/yunfu/,783,yunfu
鹰潭,//www.zhaopin.com/yingtan/,696,yingtan
雅安,//www.zhaopin.com/yaan/,816,yaan
兖州,//jobs.zhaopin.com/jining_re3366/,10116,yanzhou
燕郊开发区,//jobs.zhaopin.com/yanjiao/,10050,yanjiaokaifaqu
扬中,//jobs.zhaopin.com/zhenjiang_re3393/,10124,yangzhong
杨凌,//www.zhaopin.com/yangling/,10470,yangling
洋浦市/洋浦经济开发区,//jobs.zhaopin.com/yangpu/,907,yangpushi/yangpujingjikaifaqu
伊春,//www.zhaopin.com/yi1chun/,628,yichun
伊犁,//www.zhaopin.com/yili/,901,yili
宜城,//www.zhaopin.com/yicheng/,10171,yicheng
永济市,//www.zhaopin.com/yongji/,910,yongjishi
永嘉,//jobs.zhaopin.com/wenzhou_re3384/,10091,yongjia
永康,//jobs.zhaopin.com/jinhua_re3378/,10055,yongkang
余姚,//jobs.zhaopin.com/ningbo_re3371/,10085,yuyao
玉环县,//jobs.zhaopin.com/taizhou_re3374/,909,yuhuanxian
玉树,//www.zhaopin.com/yushu/,884,yushu
以色列,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=503&sm=0&p=1&sf=0,503,yiselie
意大利,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=504&sm=0&p=1&sf=0,504,yidali
印度,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=500&sm=0&p=1&sf=0,500,yindu
印度尼西亚,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=501&sm=0&p=1&sf=0,501,yindunixiya
英国,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=527&sm=0&p=1&sf=0,527,yingguo
越南,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=529&sm=0&p=1&sf=0,529,yuenan
郑州,//www.zhaopin.com/zhengzhou/,719,zhengzhou
枣庄,//www.zhaopin.com/zaozhuang/,705,zaozhuang
湛江,//www.zhaopin.com/zhanjiang/,770,zhanjiang
张家港,//www.zhaopin.com/zhangjiagang/,652,zhangjiagang
张家口,//www.zhaopin.com/zhangjiakou/,571,zhangjiakou
漳州,//www.zhaopin.com/zhangzhou/,687,zhangzhou
肇庆,//www.zhaopin.com/zhaoqing/,772,zhaoqing
镇江,//www.zhaopin.com/zhenjiang/,646,zhenjiang
中山,//www.zhaopin.com/zhongshan/,780,zhongshan
珠海,//www.zhaopin.com/zhuhai/,766,zhuhai
株洲,//www.zhaopin.com/changzhutan/,750,zhuzhou
淄博,//www.zhaopin.com/zibo/,704,zibo
遵义,//www.zhaopin.com/zunyi/,824,zunyi
驻马店,//www.zhaopin.com/zhumadian/,735,zhumadian
周口,//www.zhaopin.com/zhoukou/,734,zhoukou
自贡,//www.zhaopin.com/zigong/,802,zigong
舟山,//www.zhaopin.com/zhoushan/,661,zhoushan
张掖,//www.zhaopin.com/zhangye/,870,zhangye
张家界,//www.zhaopin.com/zhangjiajie/,756,zhangjiajie
昭通,//www.zhaopin.com/zhaotong/,835,zhaotong
肇东市,//www.zhaopin.com/zhaodongshi/,10510,zhaodongshi
中卫,//www.zhaopin.com/zhongwei/,906,zhongwei
诸暨,//jobs.zhaopin.com/shaoxing_re3387/,10131,zhuji
资阳,//www.zhaopin.com/ziyang/,818,ziyang
遵化,//www.zhaopin.com/zunhua/,10143,zunhua
鞍山,//www.zhaopin.com/anshan/,601,anshan
安顺,//www.zhaopin.com/anshun/,825,anshun
安阳,//www.zhaopin.com/anyang/,723,anyang
安康,//www.zhaopin.com/ankang/,862,ankang
安庆,//www.zhaopin.com/anqing/,671,anqing
阿坝,//www.zhaopin.com/aba/,819,aba
阿克苏,//www.zhaopin.com/akesu/,897,akesu
阿拉尔,//www.zhaopin.com/alaer/,10176,alaer
阿拉善盟,//www.zhaopin.com/alashan/,598,alashanmeng
阿勒泰,//www.zhaopin.com/aletai/,903,aletai
阿里,//www.zhaopin.com/ali/,852,ali
安达,//www.zhaopin.com/anda/,10081,anda
澳门,//jobs.zhaopin.com/macao/,562,aomen
阿尔及利亚,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=918&sm=0&p=1&sf=0,918,aerjiliya
阿根廷,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=481&sm=0&p=1&sf=0,481,agenting
阿联酋,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=526&sm=0&p=1&sf=0,526,alianqiu
埃及,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=493&sm=0&p=1&sf=0,493,aiji
爱尔兰,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=502&sm=0&p=1&sf=0,502,aierlan
安哥拉,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=913&sm=0&p=1&sf=0,913,angela
奥地利,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=483&sm=0&p=1&sf=0,483,aodili
澳大利亚,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=482&sm=0&p=1&sf=0,482,aodaliya
北京,//www.zhaopin.com/beijing/,530,beijing
包头,//www.zhaopin.com/baotou/,588,baotou
宝鸡,//www.zhaopin.com/baoji/,856,baoji
保定,//www.zhaopin.com/baoding/,570,baoding
滨州,//www.zhaopin.com/binzhou/,717,binzhou
亳州,//www.zhaopin.com/bozhou/,678,bozhou
蚌埠,//www.zhaopin.com/bengbu/,666,bangbu
北海,//www.zhaopin.com/beihai/,789,beihai
白银,//www.zhaopin.com/baiyin/,867,baiyin
白城,//www.zhaopin.com/baicheng/,620,baicheng
白山,//www.zhaopin.com/baishan/,618,baishan
毕节,//www.zhaopin.com/bijie/,828,bijie
巴中,//www.zhaopin.com/bazhong/,817,bazhong
巴彦淖尔,//www.zhaopin.com/bayannaoer/,597,bayannaoer
巴音郭楞,//www.zhaopin.com/bayinguoleng/,896,bayinguoleng
白沙,//jobs.zhaopin.com/baishalizuzizhi/,10194,baisha
百色,//www.zhaopin.com/baise/,794,baise
保山,//www.zhaopin.com/baoshan/,834,baoshan
保亭,//jobs.zhaopin.com/baotinglizumiaozuzizhi/,10193,baoting
本溪,//www.zhaopin.com/benxi/,603,benxi
博尔塔拉,//www.zhaopin.com/boertala/,895,boertala
北屯区,//www.zhaopin.com/beitunqu/,932,beitunqu
巴基斯坦,//sou.zhaopin.com/?jl=513&sm=0&p=1&sf=0,513,bajisitan
巴西,sou.zhaopin.com/?jl=486&sm=0&p=1&sf=0,486,baxi
白俄罗斯,//sou.zhaopin.com/?jl=484&sm=0&p=1&sf=0,484,baieluosi
保加利亚,//sou.zhaopin.com/?jl=487&sm=0&p=1&sf=0,487,baojialiya
比利时,//sou.zhaopin.com/?jl=485&sm=0&p=1&sf=0,485,bilishi
冰岛,//sou.zhaopin.com/?jl=499&sm=0&p=1&sf=0,499,bingdao
波兰,//sou.zhaopin.com/?jl=514&sm=0&p=1&sf=0,514,bolan
重庆,//www.zhaopin.com/chongqing/,551,zhongqing
成都,//www.zhaopin.com/chengdu/,801,chengdu
长春,//www.zhaopin.com/changchun/,613,changchun
长株潭,//www.zhaopin.com/changzhutan/,749,changzhutan
长沙,//www.zhaopin.com/changzhutan/,749,changsha
沧州,//www.zhaopin.com/cangzhou/,573,cangzhou
常熟,//www.zhaopin.com/changshu/,650,changshu
常德,//www.zhaopin.com/changde/,755,changde
常州,//www.zhaopin.com/changzhou/,638,changzhou
滁州,//www.zhaopin.com/chuzhou/,673,chuzhou
承德,//www.zhaopin.com/chengde/,572,chengde
郴州,//www.zhaopin.com/chenzhou/,758,chenzhou
潮州,//www.zhaopin.com/chaozhou/,781,chaozhou
长治,//www.zhaopin.com/changzhi/,579,changzhi
赤峰,//www.zhaopin.com/chifeng/,590,chifeng
池州,//www.zhaopin.com/chizhou/,679,chizhou
昌都,//www.zhaopin.com/changdu/,848,changdu
昌吉,//www.zhaopin.com/changji/,894,changji
昌江,//jobs.zhaopin.com/changjianglizuzizhi/,10195,changjiang
昌图,//www.zhaopin.com/changtu/,10080,changtu
长葛,//jobs.zhaopin.com/xuchang_re3406/,10137,changge
巢湖,//jobs.zhaopin.com/chaohu/,676,chaohu
朝阳,//www.zhaopin.com/chaoyang/,611,zhaoyang
城阳,//www.zhaopin.com/chengyang/,2159,chengyang
澄迈,//jobs.zhaopin.com/chengmai/,10190,chengmai
崇左,//www.zhaopin.com/chongzuo/,905,chongzuo
楚雄,//www.zhaopin.com/chuxiong/,836,chuxiong
慈溪,//jobs.zhaopin.com/ningbo_re3370/,10086,cixi
大连,//www.zhaopin.com/dalian/,600,dalian
东莞,//www.zhaopin.com/dongguan/,779,dongguan
大庆,//www.zhaopin.com/daqing/,627,daqing
丹东,//www.zhaopin.com/dandong/,604,dandong
德阳,//www.zhaopin.com/deyang/,805,deyang
德州,//www.zhaopin.com/dezhou/,715,dezhou
东营,//www.zhaopin.com/dongying/,706,dongying
大同,//www.zhaopin.com/datong/,577,datong
大理,//www.zhaopin.com/dali/,841,dali
达州,//www.zhaopin.com/dazhou/,815,dazhou
大兴安岭,//www.zhaopin.com/daxinganling/,634,daxinganling
丹阳,//jobs.zhaopin.com/zhenjiang_re3392/,10114,danyang
儋州,//www.zhaopin.com/danzhou/,10183,danzhou
德宏,//www.zhaopin.com/dehong/,842,dehong
德清,//jobs.zhaopin.com/huzhou_re3388/,10151,deqing
迪庆,//www.zhaopin.com/diqing/,845,diqing
定安,//jobs.zhaopin.com/anding/,10188,dingan
定西,//www.zhaopin.com/dingxi/,874,dingxi
东方,//jobs.zhaopin.com/dongfang/,10187,dongfang
东阳,//jobs.zhaopin.com/jinhua_re3377/,10056,dongyang
东港,//www.zhaopin.com/donggang/,931,donggang
丹麦,//sou.zhaopin.com/?jl=492&sm=0&p=1&sf=0,492,danmai
德国,//sou.zhaopin.com/?jl=496&sm=0&p=1&sf=0,496,deguo
鄂尔多斯,//www.zhaopin.com/eerduosi/,592,eerduosi
鄂州,//www.zhaopin.com/ezhou/,741,ezhou
恩施,//www.zhaopin.com/enshi/,748,enshi
峨眉,//www.zhaopin.com/emei/,10065,emei
俄罗斯联邦,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=516&sm=0&p=1&sf=0,516,eluosilianbang
佛山,//www.zhaopin.com/foshan/,768,foshan
福州,//www.zhaopin.com/fuzhou/,681,fuzhou
抚顺,//www.zhaopin.com/fushun/,602,fushun
阜阳,//www.zhaopin.com/fuyang/,674,fuyang
抚州,//www.zhaopin.com/fu3zhou/,700,fuzhou
方家山,//jobs.zhaopin.com/fangjiashan/,10158,fangjiashan
防城港,//www.zhaopin.com/fangchenggang/,790,fangchenggang
肥城,//jobs.zhaopin.com/taian_re3369/,10099,feicheng
凤阳,//jobs.zhaopin.com/fengyang/,10069,fengyang
福安,//jobs.zhaopin.com/ningde_re3401/,10020,fuan
阜新,//www.zhaopin.com/fuxin/,607,fuxin
法国,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=495&sm=0&p=1&sf=0,495,faguo
芬兰,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=494&sm=0&p=1&sf=0,494,fenlan
广州,//www.zhaopin.com/guangzhou/,763,guangzhou
赣州,//www.zhaopin.com/ganzhou/,697,ganzhou
广西,//www.zhaopin.com/guangxi/,549,guangxi
贵阳,//www.zhaopin.com/guiyang/,822,guiyang
甘肃,//www.zhaopin.com/gansu/,557,gansu
桂林,//www.zhaopin.com/guilin/,787,guilin
广元,//www.zhaopin.com/guangyuan/,807,guangyuan
广安,//www.zhaopin.com/guangan/,814,guangan
甘南,//www.zhaopin.com/gannan/,877,gannan
甘孜,//www.zhaopin.com/ganzi/,820,ganzi
高邮,//jobs.zhaopin.com/yangzhou_re3396/,10126,gaoyou
公安,//www.zhaopin.com/gongan/,10057,gongan
公主岭,//www.zhaopin.com/gongzhuling/,10122,gongzhuling
固安,//jobs.zhaopin.com/guan/,10142,guan
固原,//www.zhaopin.com/guyuan/,889,guyuan
广德,//jobs.zhaopin.com/guangde/,10181,guangde
贵港,//www.zhaopin.com/guigang/,792,guigang
果洛,//www.zhaopin.com/guoluo/,883,guoluo
哈尔滨,//www.zhaopin.com/haerbin/,622,haerbin
海口,//www.zhaopin.com/haikou/,799,haikou
邯郸,//www.zhaopin.com/handan/,568,handan
杭州,//www.zhaopin.com/hangzhou/,653,hangzhou
合肥,//www.zhaopin.com/hefei/,664,hefei
衡阳,//www.zhaopin.com/hengyang/,752,hengyang
衡水,//www.zhaopin.com/hengshui/,575,hengshui
呼和浩特,//www.zhaopin.com/huhehaote/,587,huhehaote
湖州,//www.zhaopin.com/huzhou/,657,huzhou
淮安,//www.zhaopin.com/huaian/,643,huaian
菏泽,//www.zhaopin.com/heze/,718,heze
淮北,//www.zhaopin.com/huaibei/,669,huaibei
汉中,//www.zhaopin.com/hanzhong/,860,hanzhong
呼伦贝尔,//www.zhaopin.com/hulunbeier/,593,hulunbeier
葫芦岛,//www.zhaopin.com/huludao/,612,huludao
惠州,//www.zhaopin.com/huizhou/,773,huizhou
珲春,//www.zhaopin.com/hunchun/,10198,hunchun
鹤壁,//www.zhaopin.com/hebi/,724,hebi
淮南,//www.zhaopin.com/huainan/,667,huainan
黄冈,//www.zhaopin.com/huanggang/,745,huanggang
怀化,//www.zhaopin.com/huaihua/,760,huaihua
黄石,//www.zhaopin.com/huangshi/,737,huangshi
黄山,//www.zhaopin.com/huangshan/,672,huangshan
河源,//www.zhaopin.com/heyuan/,776,heyuan
黑河,//www.zhaopin.com/heihe/,632,heihe
哈密,//www.zhaopin.com/hami/,893,hami
海北,//www.zhaopin.com/haibei/,880,haibei
海城,//www.zhaopin.com/haicheng/,10070,haicheng
海东,//www.zhaopin.com/haidong/,879,haidong
海南州,//www.zhaopin.com/hainan/,882,hainanzhou
海宁,//jobs.zhaopin.com/jiaxing_re3382/,10133,haining
海西,//www.zhaopin.com/haixi/,885,haixi
海阳,//www.zhaopin.com/haiyang/,2556,haiyang
和顺,//jobs.zhaopin.com/heshun/,10082,heshun
和田,//www.zhaopin.com/hetian/,900,hetian
河池,//www.zhaopin.com/hechi/,796,hechi
贺州,//www.zhaopin.com/hezhou/,795,hezhou
鹤岗,//www.zhaopin.com/hegang/,625,hegang
鹤山,//jobs.zhaopin.com/jiangmen_re3214/,10138,heshan
红河,//www.zhaopin.com/honghe/,837,honghe
黄岛,//www.zhaopin.com/huangdao/,2157,huangdao
黄南,//www.zhaopin.com/huangnan/,881,huangnan
韩国,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=506&sm=0&p=1&sf=0,506,hanguo
荷兰,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=509&sm=0&p=1&sf=0,509,helan
济南,//www.zhaopin.com/jinan/,702,jinan
吉林,//www.zhaopin.com/jilin/,614,jilin
济宁,//www.zhaopin.com/jining/,709,jining
嘉兴,//www.zhaopin.com/jiaxing/,656,jiaxing
江门,//www.zhaopin.com/jiangmen/,769,jiangmen
江阴,//www.zhaopin.com/jiangyin/,2512,jiangyin
金华,//www.zhaopin.com/jinhua/,659,jinhua
荆州,//www.zhaopin.com/jingzhou/,744,jingzhou
九江,//www.zhaopin.com/jiujiang/,694,jiujiang
焦作,//www.zhaopin.com/jiaozuo/,726,jiaozuo
揭阳,//www.zhaopin.com/jieyang/,782,jieyang
佳木斯,//www.zhaopin.com/jiamusi/,629,jiamusi
锦州,//www.zhaopin.com/jinzhou/,605,jinzhou
晋中,//www.zhaopin.com/jinzhong/,582,jinzhong
晋城,//www.zhaopin.com/jincheng/,580,jincheng
吉安,//www.zhaopin.com/jian/,698,jian
景德镇,//www.zhaopin.com/jingdezhen/,692,jingdezhen
济源,//www.zhaopin.com/jiyuan/,10044,jiyuan
吉首市,//www.zhaopin.com/jishoushi/,404001,jishoushi
鸡西,//www.zhaopin.com/jixi/,624,jixi
即墨,//www.zhaopin.com/jimo/,2161,jimo
嘉善,//jobs.zhaopin.com/jiaxing_re3380/,10067,jiashan
嘉峪关,//www.zhaopin.com/jiayuguan/,865,jiayuguan
简阳,//www.zhaopin.com/jianyang/,10201,jianyang
胶南,//www.zhaopin.com/jiaonan/,2163,jiaonan
胶州,//www.zhaopin.com/jiaozhou/,2160,jiaozhou
金昌,//www.zhaopin.com/jinchang/,866,jinchang
金湖,//jobs.zhaopin.com/huaian_re3086/,10175,jinhu
晋江,//jobs.zhaopin.com/quanzhou_re3101/,10148,jinjiang
荆门,//www.zhaopin.com/jingmen/,742,jingmen
靖江,//jobs.zhaopin.com/tai4zhou_re3390/,649,jingjiang
酒泉,//www.zhaopin.com/jiuquan/,872,jiuquan
句容,//jobs.zhaopin.com/zhenjiang_re3391/,10028,jurong
加拿大,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=488&sm=0&p=1&sf=0,488,jianada
加纳,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=914&sm=0&p=1&sf=0,914,jiana
捷克,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=491&sm=0&p=1&sf=0,491,jieke
柬埔寨,//sou.zhaopin.com/jobs/searchresult.ashx?jl=柬埔寨&sm=0&p=1,930,jianpuzhai
开封,//www.zhaopin.com/kaifeng/,720,kaifeng
昆明,//www.zhaopin.com/kunming/,831,kunming
昆山,//www.zhaopin.com/kunshan/,640,kunshan
开平,//www.zhaopin.com/kaiping/,10118,kaiping
喀什,//www.zhaopin.com/keshen/,899,kashi
开原,//www.zhaopin.com/kaiyuan/,10144,kaiyuan
克拉玛依,//www.zhaopin.com/kelamayi/,891,kelamayi
克孜勒苏,//www.zhaopin.com/kezilesukeerkezi/,898,kezilesu
奎屯市,//www.zhaopin.com/kuitunshi/,10164,kuitunshi
科威特,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=507&sm=0&p=1&sf=0,507,keweite
兰州,//www.zhaopin.com/lanzhou/,864,lanzhou
廊坊,//www.zhaopin.com/langfang/,574,langfang
连云港,//www.zhaopin.com/lianyungang/,642,lianyungang
聊城,//www.zhaopin.com/liaocheng/,716,liaocheng
临沂,//www.zhaopin.com/linyi/,714,linyi
柳州,//www.zhaopin.com/liuzhou/,786,liuzhou
洛阳,//www.zhaopin.com/luoyang/,721,luoyang
漯河,//www.zhaopin.com/luohe/,729,luohe
拉萨,//www.zhaopin.com/lasa/,847,lasa
六盘水,//www.zhaopin.com/liupanshui/,823,liupanshui
莱芜,//www.zhaopin.com/laiwu/,713,laiwu
乐山,//www.zhaopin.com/leshan/,810,leshan
辽阳,//www.zhaopin.com/liaoyang/,608,liaoyang
临汾,//www.zhaopin.com/linfen/,585,linfen
龙岩,//www.zhaopin.com/longyan/,689,longyan
丽水,//www.zhaopin.com/lishui/,663,lishui
六安,//www.zhaopin.com/liuan/,677,liuan
吕梁,//www.zhaopin.com/lvliang/,586,lvliang
辽源,//www.zhaopin.com/liaoyuan/,616,liaoyuan
娄底,//www.zhaopin.com/loudi/,761,loudi
泸州,//www.zhaopin.com/luzhou/,804,luzhou
来宾,//www.zhaopin.com/laibin/,904,laibin
莱西,//www.zhaopin.com/laixi/,2164,laixi
乐东,//jobs.zhaopin.com/ledonglizuzizhi/,10196,ledong
乐清,//jobs.zhaopin.com/wenzhou_re3383/,10089,leqing
丽江,//www.zhaopin.com/lijiang/,843,lijiang
溧阳,//jobs.zhaopin.com/changzhou_re3042/,10150,liyang
凉山,//www.zhaopin.com/liangshan/,821,liangshan
林芝,//www.zhaopin.com/linzhi/,853,linzhi
临沧,//www.zhaopin.com/lincang/,846,lincang
临高,//jobs.zhaopin.com/lingao/,10191,lingao
临夏,//www.zhaopin.com/linxia/,876,linxia
陵水,//jobs.zhaopin.com/lingshuilizuzizhi/,10197,lingshui
龙川,//jobs.zhaopin.com/heyuan_re3405/,10120,longchuan
龙泉,//jobs.zhaopin.com/lishui_re3389/,10180,longquan
陇南,//www.zhaopin.com/longnan/,875,longnan
马鞍山,//www.zhaopin.com/maanshan/,668,maanshan
绵阳,//www.zhaopin.com/mianyang/,806,mianyang
牡丹江,//www.zhaopin.com/mudanjiang/,631,mudanjiang
梅州,//www.zhaopin.com/meizhou/,774,meizhou
茂名,//www.zhaopin.com/maoming/,771,maoming
蒙自市,//www.zhaopin.com/mengzishi/,,mengzishi
满洲里,//www.zhaopin.com/manzhouli/,10157,manzhouli
眉山,//www.zhaopin.com/meishan/,812,meishan
马来西亚,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=508&sm=0&p=1&sf=0,508,malaixiya
美国,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=528&sm=0&p=1&sf=0,528,meiguo
南京,//www.zhaopin.com/nanjing/,635,nanjing
南昌,//www.zhaopin.com/nanchang/,691,nanchang
南充,//www.zhaopin.com/nanchong/,811,nanchong
南宁,//www.zhaopin.com/nanning/,785,nanning
南阳,//www.zhaopin.com/nanyang/,731,nanyang
南通,//www.zhaopin.com/nantong/,641,nantong
宁波,//www.zhaopin.com/ningbo/,654,ningbo
宁夏,//www.zhaopin.com/ningxia/,559,ningxia
南平,//www.zhaopin.com/nanping/,688,nanping
宁德,//www.zhaopin.com/ningde/,690,ningde
内江,//www.zhaopin.com/neijiang/,809,neijiang
那曲,//www.zhaopin.com/naqu/,851,naqu
南沙区,//jobs.zhaopin.com/guangzhou_re2054/,2054,nanshaqu
宁海,//jobs.zhaopin.com/ningbo_re3372/,10134,ninghai
怒江,//www.zhaopin.com/nujiang/,844,nujiang
南非,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=519&sm=0&p=1&sf=0,519,nanfei
尼日利亚,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=915&sm=0&p=1&sf=0,915,niriliya
挪威,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=511&sm=0&p=1&sf=0,511,nuowei
平顶山,//www.zhaopin.com/pingdingshan/,722,pingdingshan
莆田,//www.zhaopin.com/putian/,683,putian
濮阳,//www.zhaopin.com/puyang/,727,puyang
盘锦,//www.zhaopin.com/panjin/,609,panjin
普宁,//www.zhaopin.com/puning/,3404,puning
萍乡,//www.zhaopin.com/pingxiang/,693,pingxiang
攀枝花,//www.zhaopin.com/panzhihua/,803,panzhihua
平度,//www.zhaopin.com/pingdu/,2162,pingdu
平湖,//jobs.zhaopin.com/jiaxing_re3379/,10052,pinghu
平凉,//www.zhaopin.com/pingliang/,871,pingliang
普洱,//www.zhaopin.com/puer/,10163,puer
葡萄牙,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=515&sm=0&p=1&sf=0,515,putaoya
青岛,//www.zhaopin.com/qingdao/,703,qingdao
秦皇岛,//www.zhaopin.com/qinhuangdao/,567,qinhuangdao
青海,//www.zhaopin.com/qinghai/,558,qinghai
清远,//www.zhaopin.com/qingyuan/,778,qingyuan
泉州,//www.zhaopin.com/quanzhou/,685,quanzhou
齐齐哈尔,//www.zhaopin.com/qiqihaer/,623,qiqihaer
曲靖,//www.zhaopin.com/qujing/,832,qujing
衢州,//www.zhaopin.com/quzhou/,660,quzhou
黔西南,//www.zhaopin.com/qianxinan/,827,qianxinan
七台河,//www.zhaopin.com/qitaihe/,630,qitaihe
启东,//jobs.zhaopin.com/nantong_re3395/,10136,qidong
潜江,//www.zhaopin.com/qianjiang/,10169,qianjiang
黔东南,//www.zhaopin.com/qiandongnan/,829,qiandongnan
黔南,//www.zhaopin.com/qiannan/,830,qiannan
钦州,//www.zhaopin.com/qinzhou/,791,qinzhou
庆阳,//www.zhaopin.com/qingyang/,873,qingyang
琼海,//www.zhaopin.com/qionghai/,10153,qionghai
琼中,//jobs.zhaopin.com/qiongzhonglizumiaozuzizhi/,10192,qiongzhong
泉港区,//jobs.zhaopin.com/quanzhou_re3400/,686,quangangqu
其他国家,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=512&sm=0&p=1&sf=0,512,qitaguojia
日照,//www.zhaopin.com/rizhao/,712,rizhao
日喀则,//www.zhaopin.com/rikeze/,850,rikaze
荣成,//jobs.zhaopin.com/weihai_re3368/,912,rongcheng
如皋,//jobs.zhaopin.com/nantong_re3394/,10051,rugao
乳山,//jobs.zhaopin.com/weihai_re3367/,10060,rushan
瑞安,//jobs.zhaopin.com/wenzhou_re3385/,10128,ruian
日本,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=505&sm=0&p=1&sf=0,505,riben
瑞典,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=521&sm=0&p=1&sf=0,521,ruidian
瑞士,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=522&sm=0&p=1&sf=0,522,ruishi
上海,//www.zhaopin.com/shanghai/,538,shanghai
深圳,//www.zhaopin.com/shenzhen/,765,shenzhen
沈阳,//www.zhaopin.com/shenyang/,599,shenyang
石家庄,//www.zhaopin.com/shijiazhuang/,565,shijiazhuang
三亚,//www.zhaopin.com/sanya/,800,sanya
汕头,//www.zhaopin.com/shantou/,767,shantou
商丘,//www.zhaopin.com/shangqiu/,732,shangqiu
